City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,ribeira grande,38.5167,-28.7,21.22,94,75,8.94,PT,1699543237
116,nemuro,43.3236,145.575,12.04,84,96,11.46,JP,1699543254
117,santa vitoria do palmar,-33.5189,-53.3681,20.52,47,0,3.21,BR,1699543178
118,sirte,31.2089,16.5887,24.3,63,34,2.8,LY,1699543236
119,tsiombe,-25.3,45.4833,24.77,63,50,6.02,MG,1699543289
120,nadym,65.5333,72.5167,-3.11,86,100,7.14,RU,1699543660
121,barguzin,53.6167,109.6167,-12.59,91,74,1.01,RU,1699543660
122,gobabis,-22.45,18.9667,35.06,8,0,3.8,NA,1699543661
123,cidade velha,14.9167,-23.6167,28.26,51,75,7.2,CV,1699543416
124,harper,4.375,-7.7169,25.87,86,100,4.33,LR,1699543661
125,nikolayevsk-on-amure,53.1406,140.73,-8.88,99,99,1.37,RU,1699543661
126,yamada,39.4667,141.95,12.09,89,5,3.8,JP,1699543661
127,chonchi,-42.6128,-73.8092,11.56,46,23,1.84,CL,1699543195
128,bilibino,68.0546,166.4372,-21.0,99,98,1.24,RU,1699543195
129,urangan,-25.3,152.9,21.12,69,0,3.07,AU,1699543662
130,wagar,16.1525,36.2032,35.06,29,37,1.63,SD,1699543524
131,margaret river,-33.95,115.0667,11.8,65,77,4.09,AU,1699543233
132,gasa,31.5,34.4667,23.26,72,0,4.9,PS,1699543663
133,sittwe,20.15,92.9,24.43,76,28,4.58,MM,1699543646
134,jamestown,42.097,-79.2353,8.07,97,100,4.63,US,1699543226
135,vylkove,45.4021,29.586,12.24,46,6,3.28,UA,1699543663
136,boda,4.3189,17.4695,28.42,74,100,1.45,CF,1699543663
137,jieshi,22.8134,115.8257,24.59,81,94,3.98,CN,1699543664
138,lihue,21.9789,-159.3672,25.77,72,0,9.26,US,1699543222
139,thompson,55.7435,-97.8558,-6.91,79,100,4.12,CA,1699543201
140,amahai,-3.3333,128.9167,25.94,86,93,1.0,ID,1699543664
141,albany,42.6001,-73.9662,4.97,78,100,3.57,US,1699542920
142,nacozari de garcia,30.3742,-109.6908,15.79,46,15,2.06,MX,1699543664
143,port saint john's,-31.6229,29.5448,20.69,70,75,1.99,ZA,1699543665
144,tokar,18.4254,37.729,30.69,58,2,7.78,SD,1699543665
145,taoudenni,22.6783,-3.9836,31.37,8,0,4.56,ML,1699543270
146,aligudarz,33.4006,49.6949,13.25,30,0,1.34,IR,1699543666
147,ovalle,-30.5983,-71.2003,21.4,50,100,0.61,CL,1699543667
148,ilulissat,69.2167,-51.1,-2.99,86,100,4.63,GL,1699543188
149,lompoc,34.6391,-120.4579,13.11,82,0,2.57,US,1699543355
150,whitehorse,60.7161,-135.0538,5.43,70,75,9.77,CA,1699543200
151,papatowai,-46.5619,169.4708,3.53,83,4,1.45,NZ,1699543187
152,ha tinh,18.3333,105.9,24.77,94,62,1.41,VN,1699543668
153,aquin,18.2833,-73.4,30.39,64,4,1.57,HT,1699543668
154,stanley,54.868,-1.6985,7.66,83,20,1.03,GB,1699542966
155,vrangel',42.7297,133.0839,6.21,77,100,6.58,RU,1699543668
156,coxen hole,16.3244,-86.5366,28.6,74,20,2.06,HN,1699543669
157,scottburgh,-30.2867,30.7532,18.97,84,99,0.65,ZA,1699543669
158,colonia,50.9333,6.95,12.2,73,20,3.6,DE,1699543029
159,port alfred,-33.5906,26.891,22.32,73,0,0.45,ZA,1699543314
160,itaituba,-4.2761,-55.9836,37.46,34,39,1.66,BR,1699543397
161,manavgat,36.7867,31.4431,21.28,77,8,1.6,TR,1699543670
162,smara,26.7384,-11.6719,30.94,17,5,4.25,EH,1699543670
163,la ronge,55.1001,-105.2842,-0.86,93,100,2.57,CA,1699543265
164,laojunmiao,39.8333,97.7333,1.08,37,55,1.23,CN,1699543357
165,brisas de zicatela,15.8369,-97.0419,28.29,61,0,2.57,MX,1699543671
166,ad dabbah,18.05,30.95,33.5,24,0,2.56,SD,1699543671
